,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,"Sen. John McCain: ""What greater cause could we hope to serve than helping keep America the strong, aspiring, inspir… https://t.co/T2m8imd2JF",Mon Aug 27 05:45:00 +0000 2018,0.872,0.405,0.595,0.0
1,Fox News,Hawaii's team celebrates together after their 3-0 win over South Korea in the Little League World Series Championsh… https://t.co/ieZAae1oYm,Mon Aug 27 05:38:00 +0000 2018,0.8176,0.306,0.694,0.0
2,Fox News,".@RealCandaceO: ""Liberalism to me means bondage and conservatism means freedom. The freedom to choose, the freedom… https://t.co/WB71R9lEKw",Mon Aug 27 05:30:00 +0000 2018,0.8555,0.359,0.641,0.0
3,Fox News,.@FBI swarms family home of Jacksonville Landing gunman David Katz https://t.co/IfCWLIW952,Mon Aug 27 05:23:00 +0000 2018,0.0,0.0,1.0,0.0
4,Fox News,".@WillieNelson: ""I enjoy the audience, I enjoy the fans. You know, I like the attention— who wouldn't?"" #OBJECTified https://t.co/JRKfg8hYGB",Mon Aug 27 05:15:00 +0000 2018,0.836,0.389,0.611,0.0
5,Fox News,"A makeshift memorial filled with flowers, candles and pictures is set up outside of @SenJohnMcCain’s office in Phoe… https://t.co/aj1dpZLaOK",Mon Aug 27 05:07:00 +0000 2018,0.0,0.0,1.0,0.0
6,Fox News,".@KatiePavlich: ""Conservatism to me is limited government, liberty and sticking to the Constitution and realizing t… https://t.co/zUZIOU7WV9",Mon Aug 27 05:00:00 +0000 2018,0.3612,0.167,0.739,0.094
7,Fox News,MS-13 member in Virginia pleads guilty to murder for hacking man to death with machete https://t.co/ieV4aXxBtU,Mon Aug 27 04:53:00 +0000 2018,-0.9081,0.0,0.533,0.467
8,Fox News,".@RealCandaceO on @realDonaldTrump: ""I think that what he did in this country was the most necessary thing by killi… https://t.co/may38XX0JZ",Mon Aug 27 04:45:00 +0000 2018,0.0,0.0,1.0,0.0
9,Fox News,".@Johnny_Joey, a retired Marine Corps bomb technician who lost both of his legs in a 2010 IED explosion, reflected… https://t.co/A3dmbzV6ig",Mon Aug 27 04:38:00 +0000 2018,-0.6705,0.0,0.744,0.256
10,Fox News,".@LisaMarieBoothe on Kavanaugh hearing: ""The changes to the judiciary are going to be lasting legacy of President… https://t.co/OSOM6NXcpK",Mon Aug 27 04:30:00 +0000 2018,0.0,0.0,1.0,0.0
11,Fox News,"North Carolina mom in 'disbelief' after son, 10, punished for calling teacher 'ma'am' https://t.co/Z8oqZ63bGh",Mon Aug 27 04:23:00 +0000 2018,-0.4588,0.0,0.812,0.188
12,Fox News,"John McCain: ""I don't mind a good fight. For reasons known only to God, I've had quite a few tough ones in my life.… https://t.co/SsCVTbeEOF",Mon Aug 27 04:15:00 +0000 2018,0.0257,0.156,0.692,0.152
13,Fox News,A woman hugs her husband for the first time in nine months since he was deployed to Iraq at Jackson Barracks in New… https://t.co/GoqA9QcpVQ,Mon Aug 27 04:08:00 +0000 2018,0.4939,0.127,0.873,0.0
14,Fox News,".@KenPaxtonTX: ""We've had over 600,000 crimes committed by illegals since 2011. Over 1200 homicides. We've had huma… https://t.co/Tu1oIifiHM",Mon Aug 27 04:01:00 +0000 2018,0.2732,0.11,0.89,0.0
15,Fox News,McCain's former colleague Kyl says late senator was ‘conscience of the Senate’ https://t.co/7OsyMs3UhT,Mon Aug 27 03:53:00 +0000 2018,0.0,0.0,1.0,0.0
16,Fox News,Everett Alvarez: “[@SenJohnMcCain] always really felt this way that his service to country and what was right for t… https://t.co/60kv8CoU9M,Mon Aug 27 03:45:00 +0000 2018,0.0,0.0,1.0,0.0
17,Fox News,"Last night, former President @BarackObama, who ran against John McCain for the presidency in 2008, said that Americ… https://t.co/xPUoDcMhiX",Mon Aug 27 03:38:00 +0000 2018,0.0,0.0,1.0,0.0
18,Fox News,"China ride-hailing giant Didi Chuxing suspends carpooling service after woman raped, killed by driver https://t.co/ul7cD9nJA1",Mon Aug 27 03:31:00 +0000 2018,-0.8779,0.0,0.588,0.412
19,Fox News,".@KatiePavlich: ""America has always prevailed. It is the greatest country the world has ever known. I always have f… https://t.co/JqmvWYVKrI",Mon Aug 27 03:24:01 +0000 2018,0.6369,0.189,0.811,0.0
20,CNN,"President Trump is right. His trade war with China is causing a huge problem with North Korea, writes YJ Fischer fo… https://t.co/SFxd1fxwYM",Mon Aug 27 05:30:07 +0000 2018,-0.6486,0.086,0.669,0.245
21,CNN,5.9 magnitude earthquake rattles western Iran https://t.co/ICWgOpOo1f https://t.co/XM74a5pC5R,Mon Aug 27 05:00:13 +0000 2018,0.0,0.0,1.0,0.0
22,CNN,"Trump's presidency as TV series will be binge-worthy, writes Dean Obeidallah for @CNNOpinion https://t.co/uwJdrDAUlZ https://t.co/XONGCcu7Ea",Mon Aug 27 04:30:07 +0000 2018,0.0,0.0,1.0,0.0
23,CNN,"This ""hovering"" backpack claims it'll help your back, neck, knees and ankles take up to 86% less punishment… https://t.co/U1ChdNpczb",Mon Aug 27 04:00:19 +0000 2018,0.4019,0.13,0.87,0.0
24,CNN,Pope Francis speaks to thousands at Sunday Mass in Dublin amid sex abuse scandal https://t.co/TGxyNgqEjh https://t.co/GSh9sMFXLx,Mon Aug 27 03:30:08 +0000 2018,-0.7964,0.0,0.664,0.336
25,CNN,Afghan President Ashraf Ghani accepted the resignation of his national security adviser but refused the resignation… https://t.co/ESRtKU8onW,Mon Aug 27 03:00:14 +0000 2018,-0.2846,0.157,0.63,0.213
